Total number of lines including the keywords  all  -> 61
 Tuple example : (literal line, time, Tx, Rx, Description)
('15:37:45.206025 [RRC ] [D] SRB1 - Rx securityModeComplete (2 B)', '15:37:45.206025', 'UE', 'eNodeB', 'Security Mode Complete')
('15:37:45.206061 [S1AP] [I] Sending InitialContextSetupResponse for rnti=0x4a', '15:37:45.206061', 'eNodeB', 'EPC', 'Initial Context Setup Response')
('15:37:45.206341 [RRC ] [D] SRB1 - rnti=0x4a - Tx rrcConnectionReconfiguration (97 B)', '15:37:45.206341', 'eNodeB', 'UE', 'Connection Reconfiguration [Attach Accept]')
('15:37:45.226406 [RRC ] [D] SRB1 - Rx rrcConnectionReconfigurationComplete (2 B)', '15:37:45.226406', 'UE', 'eNodeB', 'Connection Reconfiguration Complete')
('15:37:45.226828 [RRC ] [D] SRB2 - Rx ulInformationTransfer (16 B)', '15:37:45.226828', 'UE', 'eNodeB', 'Attach Complete')
('15:37:45.226855 [S1AP] [I] Sending UplinkNASTransport for rnti=0x4a', '15:37:45.226855', 'eNodeB', 'EPC', 'Attach Complete')
('15:37:45.410116 [S1AP] [I] Received S1AP PDU', '15:37:45.410116', 'EPC', 'eNodeB', 'EMM Information')
('15:37:45.410164 [RRC ] [D] SRB2 - rnti=0x4a - Tx dlInformationTransfer (47 B)', '15:37:45.410164', 'eNodeB', 'UE', 'EMM Information')
('15:37:42.974579 [S1AP] [I] Received S1 Setup Request.', '15:37:42.974579', 'eNodeB', 'EPC', 'S1 Setup Request')
('15:37:42.975038 [S1AP] [I] Sending S1 Setup Response', '15:37:42.975038', 'EPC', 'eNodeB', 'S1 Setup Response')
('15:37:45.126094 [S1AP] [I] Received Initial UE Message.', '15:37:45.126094', 'eNodeB', 'EPC', 'Initial UE Message (Attach Request)')
('15:37:45.126181 [NAS ] [I] Packing Identity Request', '15:37:45.126181', 'EPC', 'eNodeB', 'Identity Request')
('15:37:45.146099 [S1AP] [I] UL NAS: Received Identity Response', '15:37:45.146099', 'eNodeB', 'EPC', 'Identity Response')
('15:37:45.146139 [NAS ] [I] Packing Authentication Request', '15:37:45.146139', 'EPC', 'eNodeB', 'Authentication Request')
('15:37:45.166092 [S1AP] [I] UL NAS: Received Authentication Response', '15:37:45.166092', 'eNodeB', 'EPC', 'Authentication Response')
('15:37:45.166133 [NAS ] [I] Packing Security Mode Command', '15:37:45.166133', 'EPC', 'eNodeB', 'Security Mode Command')
('15:37:45.186166 [S1AP] [I] UL NAS: Received Security Mode Complete', '15:37:45.186166', 'eNodeB', 'EPC', 'Security Mode Complete')
('15:37:45.186835 [S1AP] [I] Sent Initial Context Setup Request. E-RAB id 5 ', '15:37:45.186835', 'EPC', 'eNodeB', 'Initial Context Setup Request')
('15:37:45.206117 [S1AP] [I] Received Initial Context Setup Response.', '15:37:45.206117', 'eNodeB', 'EPC', 'Initial Context Setup Response')
('15:37:45.409933 [S1AP] [I] UL NAS: Received Attach Complete', '15:37:45.409933', 'eNodeB', 'EPC', 'Attach Complete')
('15:37:45.410110 [NAS ] [I] Sending EMM Information', '15:37:45.410110', 'EPC', 'eNodeB', 'EMM Information')
